transaction_id,amount,currency,category,timestamp
t093,189.50,USD,Clothing,2024-02-02 12:30:12
t094,56.25,USD,Food,2024-02-02 14:20:00
t095,345.99,USD,Electronics,2024-02-02 16:15:33
t096,78.00,USD,Entertainment,2024-02-03 09:45:22
t097,567.50,USD,Travel,2024-02-03 11:10:05
t098,89.25,USD,Health,2024-02-03 13:22:18
t099,234.00,USD,Groceries,2024-02-03 15:05:45
t100,156.75,USD,Clothing,2024-02-03 17:30:12
t101,45.50,USD,Food,2024-02-04 08:20:00
t102,678.00,USD,Travel,2024-02-04 10:15:33
t103,67.99,USD,Electronics,2024-02-04 12:45:22
t104,123.25,USD,Entertainment,2024-02-04 14:10:05
t105,89.50,USD,Health,2024-02-04 16:22:18
t106,345.75,USD,Clothing,2024-02-05 09:05:45
t107,34.00,USD,Groceries,2024-02-05 11:30:12
t108,189.25,USD,Electronics,2024-02-05 13:20:00
t109,56.50,USD,Food,2024-02-05 15:15:33
t110,456.99,USD,Travel,2024-02-05 17:45:22
t111,78.25,USD,Entertainment,2024-02-06 08:10:05
t112,234.50,USD,Health,2024-02-06 10:22:18
t113,145.00,USD,Groceries,2024-02-06 12:05:45
t114,67.75,USD,Clothing,2024-02-06 14:30:12
t115,890.25,USD,Travel,2024-02-06 16:20:00
t116,45.99,USD,Food,2024-02-07 09:15:33
t117,123.50,USD,Electronics,2024-02-07 11:45:22
t118,89.00,USD,Entertainment,2024-02-07 13:10:05
t119,567.75,USD,Health,2024-02-07 15:22:18
t120,156.25,USD,Clothing,2024-02-07 17:05:45
t121,34.50,USD,Groceries,2024-02-08 08:30:12
t122,278.00,USD,Travel,2024-02-08 10:20:00
t123,78.75,USD,Food,2024-02-08 12:15:33
t124,189.99,USD,Electronics,2024-02-08 14:45:22
t125,56.25,USD,Entertainment,2024-02-08 16:10:05
t126,345.50,USD,Clothing,2024-02-09 09:22:18
t127,67.00,USD,Health,2024-02-09 11:05:45
t128,456.75,USD,Travel,2024-02-09 13:30:12
t129,89.25,USD,Groceries,2024-02-09 15:20:00
t130,234.00,USD,Electronics,2024-02-09 17:15:33
t131,45.75,USD,Food,2024-02-10 08:45:22
t132,678.50,USD,Travel,2024-02-10 10:10:05
t133,123.00,USD,Entertainment,2024-02-10 12:22:18
t134,78.50,USD,Health,2024-02-10 14:05:45
t135,156.99,USD,Clothing,2024-02-10 16:30:12
t136,34.25,USD,Groceries,2024-02-11 09:20:00
t137,567.00,USD,Travel,2024-02-11 11:15:33
t138,89.75,USD,Electronics,2024-02-11 13:45:22
t139,145.50,USD,Entertainment,2024-02-11 15:10:05
t140,67.25,USD,Food,2024-02-11 17:22:18
t141,345.00,USD,Clothing,2024-02-12 08:05:45
t142,56.75,USD,Health,2024-02-12 10:30:12
t143,890.99,USD,Travel,2024-02-12 12:20:00
t144,78.00,USD,Groceries,2024-02-12 14:15:33
t145,189.25,USD,Electronics,2024-02-12 16:45:22
t146,45.50,USD,Entertainment,2024-02-13 09:10:05
t147,234.75,USD,Clothing,2024-02-13 11:22:18
t148,123.00,USD,Food,2024-02-13 13:05:45
t149,456.50,USD,Travel,2024-02-13 15:30:12
t150,67.99,USD,Health,2024-02-13 17:20:00
